Country,data_year,p4_score,CCode,IU_2014,GDPPCC_2014
Republic of Serbia,2014,8,SRB,53.5,-1.334834775
Sierra Leone,2014,7,SLE,2.1,4.665121004
Singapore,2014,-2,SGP,82,1.591854849
Slovak Republic,2014,10,SVK,79.98,2.313022761
Slovenia,2014,10,SVN,71.59,2.523980712
Solomon Islands,2014,8,SLB,9,-0.530276246
Somalia,2014,5,SOM,1.63,
Spain,2014,10,ESP,76.19,1.860093151
Sri Lanka,2014,3,LKA,25.8,6.555884021
South Sudan,2014,0,SSD,15.9,30.93665758
Suriname,2014,5,SUR,40.08,
Swaziland,2014,-9,SWZ,27.1,0.975736266
Sweden,2014,10,SWE,92.52,1.337141043
Switzerland,2014,10,CHE,87,
Syria,2014,-9,SYR,28.09,
Tajikistan,2014,-3,TJK,17.49,4.333377971
Taiwan,2014,10,TWN,,
Tanzania,2014,-1,TZA,4.86,3.800459218
Thailand,2014,-3,THA,34.89,0.302547154
Turkmenistan,2014,-8,TKM,12.2,8.905434684
Togo,2014,-2,TGO,5.7,2.938916505
Trinidad and Tobago,2014,10,TTO,65.1,
Tunisia,2014,7,TUN,46.16,
Turkey,2014,9,TUR,51.04,1.617456589
United Arab Emirates,2014,-8,ARE,90.4,3.079113047
Uganda,2014,-1,UGA,17.71,1.163756689
United Kingdom,2014,10,GBR,91.61,1.911429471
Ukraine,2014,4,UKR,43.4,-0.84985749
Uruguay,2014,10,URY,61.46,3.148921995
United States,2014,10,USA,87.36,1.630559556
Uzbekistan,2014,-9,UZB,43.55,6.34430902
Venezuela,2014,4,VEN,57,-5.305936454
Vietnam,2014,-7,VNM,48.31,4.790885875
Yemen,2014,0,YEM,22.55,
Democratic Republic of the Congo,2014,5,COD,3,5.661810221
Zambia,2014,7,ZMB,17.34,2.795614669
Zimbabwe,2014,4,ZWE,19.89,0.814909572
Aruba,2014,,ABW,83.78,
Andorra,2014,,AND,95.9,
Antigua and Barbuda,2014,,ATG,64,2.182476884
The Bahamas,2014,,BHS,76.92,-0.352037769
Belize,2014,,BLZ,38.7,
Bermuda,2014,,BMU,96.8,
Barbados,2014,,BRB,76.67,-0.102651631
Brunei,2014,,BRN,68.77,3.812811636
Curacao,2014,,CUW,,
Cayman Islands,2014,,CYM,74.1,
Dominica,2014,,DMA,62.86,1.953062799
Fragile and conflict affected situations,2014,,FCS,11.53125456,-4.365619953
Faeroe Islands,2014,,FRO,94.66,
Micronesia,2014,,FSM,,
Grenada,2014,,GRD,37.38,1.086893939
Isle of Man,2014,,IMN,,
Iceland,2014,,ISL,98.16,0.681962575
Kiribati,2014,,KIR,12.25,1.234011153
St. Kitts and Nevis,2014,,KNA,65.4,5.094765301
St. Lucia,2014,,LCA,51,-2.31335849
Liechtenstein,2014,,LIE,95.21,
St. Martin (French part),2014,,MAF,,
Monaco,2014,,MCO,92.4,
Maldives,2014,,MDV,49.28,5.664874817
Marshall Islands,2014,,MHL,16.8,
Malta,2014,,MLT,73.17,
Northern Mariana Islands,2014,,MNP,,
New Caledonia,2014,,NCL,70,
Palau,2014,,PLW,,7.041161072
French Polynesia,2014,,PYF,60.68,
San Marino,2014,,SMR,,
Sao Tome and Principe,2014,,STP,24.41,2.013109283
Seychelles,2014,,SYC,54.26,0.937801689
Turks and Caicos Islands,2014,,TCA,,
Tonga,2014,,TON,40,1.711527415
Tuvalu,2014,,TUV,,
St. Vincent and the Grenadines,2014,,VCT,56.48,-0.481765049
Virgin Islands (U.S.),2014,,VIR,50.07,
Vanuatu,2014,,VUT,18.8,
Samoa,2014,,WSM,21.2,0.426592693
